,synapse_transcript_id
245,ENSMUST00000038424
246,ENSMUST00000235714
247,ENSMUST00000187485
248,ENSMUST00000015797
249,ENSMUST00000090147
250,ENSMUST00000063508
251,ENSMUST00000038845
252,ENSMUST00000023335
253,ENSMUST00000027727
254,ENSMUST00000218062
255,ENSMUST00000105520
256,ENSMUST00000236822
257,ENSMUST00000109221
258,ENSMUST00000101429
259,ENSMUST00000006991
260,ENSMUST00000057410
261,ENSMUST00000092618
262,ENSMUST00000028938
263,ENSMUST00000049005
264,ENSMUST00000021506
265,ENSMUST00000172164
266,ENSMUST00000046174
267,ENSMUST00000169825
268,ENSMUST00000102632
269,ENSMUST00000106633
270,ENSMUST00000021458
271,ENSMUST00000068214
272,ENSMUST00000109424
273,ENSMUST00000105276
274,ENSMUST00000129285
275,ENSMUST00000211664
276,ENSMUST00000031556
277,ENSMUST00000120879
278,ENSMUST00000093859
279,ENSMUST00000068952
280,ENSMUST00000010267
281,ENSMUST00000169141
282,ENSMUST00000177005
283,ENSMUST00000186889
284,ENSMUST00000105307
285,ENSMUST00000117150
286,ENSMUST00000235294
287,ENSMUST00000023749
288,ENSMUST00000174710
289,ENSMUST00000095541
290,ENSMUST00000053148
291,ENSMUST00000100335
292,ENSMUST00000144236
293,ENSMUST00000100439
294,ENSMUST00000230603
295,ENSMUST00000027380
296,ENSMUST00000020253
297,ENSMUST00000111993
298,ENSMUST00000100348
299,ENSMUST00000234204
300,ENSMUST00000036572
301,ENSMUST00000189588
302,ENSMUST00000019931
303,ENSMUST00000117836
304,ENSMUST00000102478
305,ENSMUST00000120898
306,ENSMUST00000227483
307,ENSMUST00000067458
308,ENSMUST00000027741
309,ENSMUST00000028815
310,ENSMUST00000018644
311,ENSMUST00000035142
312,ENSMUST00000039071
313,ENSMUST00000034904
314,ENSMUST00000056136
315,ENSMUST00000114307
316,ENSMUST00000097786
317,ENSMUST00000032503
318,ENSMUST00000032501
319,ENSMUST00000004574
320,ENSMUST00000051633
321,ENSMUST00000075132
322,ENSMUST00000102776
323,ENSMUST00000040423
324,ENSMUST00000079772
325,ENSMUST00000035158
326,ENSMUST00000107743
327,ENSMUST00000235274
328,ENSMUST00000230981
329,ENSMUST00000050715
330,ENSMUST00000110191
331,ENSMUST00000045918
332,ENSMUST00000001595
333,ENSMUST00000101070
334,ENSMUST00000005173
335,ENSMUST00000049095
336,ENSMUST00000099623
337,ENSMUST00000031655
338,ENSMUST00000109681
339,ENSMUST00000058098
340,ENSMUST00000092640
341,ENSMUST00000215809
342,ENSMUST00000028335
343,ENSMUST00000108905
344,ENSMUST00000054083
345,ENSMUST00000068282
346,ENSMUST00000008907
347,ENSMUST00000179636
348,ENSMUST00000207493
349,ENSMUST00000107651
350,ENSMUST00000127306
351,ENSMUST00000037788
352,ENSMUST00000106663
353,ENSMUST00000194361
354,ENSMUST00000137133
355,ENSMUST00000040721
356,ENSMUST00000128679
357,ENSMUST00000036248
358,ENSMUST00000063717
359,ENSMUST00000092880
360,ENSMUST00000113458
361,ENSMUST00000098252
362,ENSMUST00000032454
363,ENSMUST00000229003
364,ENSMUST00000093106
365,ENSMUST00000127543
366,ENSMUST00000029891
367,ENSMUST00000159243
368,ENSMUST00000153478
369,ENSMUST00000112632
370,ENSMUST00000019616
371,ENSMUST00000093995
372,ENSMUST00000161523
373,ENSMUST00000097902
374,ENSMUST00000234448
375,ENSMUST00000237039
376,ENSMUST00000063029
377,ENSMUST00000167497
378,ENSMUST00000128168
379,ENSMUST00000230040
380,ENSMUST00000222193
381,ENSMUST00000026568
382,ENSMUST00000220904
383,ENSMUST00000034934
384,ENSMUST00000129178
385,ENSMUST00000143075
386,ENSMUST00000135836
387,ENSMUST00000050034
388,ENSMUST00000029208
389,ENSMUST00000029429
390,ENSMUST00000177293
391,ENSMUST00000132523
392,ENSMUST00000164377
393,ENSMUST00000015467
394,ENSMUST00000235795
395,ENSMUST00000047903
396,ENSMUST00000073447
397,ENSMUST00000124505
398,ENSMUST00000165485
399,ENSMUST00000154184
400,ENSMUST00000195239
401,ENSMUST00000140223
402,ENSMUST00000171654
403,ENSMUST00000080035
404,ENSMUST00000032462
405,ENSMUST00000022782
406,ENSMUST00000084013
407,ENSMUST00000037370
408,ENSMUST00000108122
409,ENSMUST00000060991
410,ENSMUST00000028377
411,ENSMUST00000111315
412,ENSMUST00000029311
413,ENSMUST00000125659
414,ENSMUST00000100069
415,ENSMUST00000114630
416,ENSMUST00000023531
